token_entity_id,token_symbol,anchor_event_id,anchor_event_type,drawdown_before_rebound,days_from_event_to_bottom,max_rebound_after_bottom,days_from_bottom_to_rebound,volume_zscore_on_rebound,rebound_sustained,post_rebound_drawdown,fallback_used,suspicious_spike_flag,low_liquidity_flag,epic_similarity_score,manual_review_required,notes
ALPACA,ALPACA,064b0dde744232dc,MONITORING_TAG_ADDED,-0.7486934281715131,43.74905092592593,44.68345323741008,13.25,2.482920153982655,yes,-0.8389763779527559,no,no,no,1.0,no,
AST,AST,c9bba63a0a1d11c1,MONITORING_TAG_ADDED,-0.864189171165554,12.040717592592593,5.1976744186046515,7.166666666666667,4.661366239650997,yes,-0.5159474671669794,no,no,no,1.0,no,
BAKE,BAKE,5c8137ecc69b6b61,MONITORING_TAG_ADDED,-0.6561944745934164,64.31253472222222,5.621212121212121,0.9583333333333334,3.7228135667193953,yes,-0.7913043478260869,no,no,no,1.0,no,
CTXC,CTXC,73bd41c12e1c9037,MONITORING_TAG_ADDED,-0.5091542638263125,3.8749652777777777,1.2945945945945945,21.375,3.600617969403674,yes,-0.7817039654495485,no,no,no,1.0,no,
EPIC,EPIC,c518920624770484,MONITORING_TAG_ADDED,-0.3603402143526486,6.833287037037037,3.31413612565445,9.916666666666666,3.9171377507079512,yes,-0.407766990291262,no,yes,yes,0.75,yes,manual_case_study=false;epic_evaluated_by_same_rules
FLOW,FLOW,6a25698db0b92de7,MONITORING_TAG_ADDED,-0.7350785702745193,86.45836805555555,0.6644079885877321,31.666666666666668,2.809012267676891,no,-0.2965502464109707,no,no,no,0.8,no,
GHST,GHST,fc33d59d02e3d720,MONITORING_TAG_ADDED,-0.8853884707040791,67.18722222222222,7.0,4.333333333333333,2.6380829063486897,yes,-0.5708333333333333,no,no,no,1.0,no,
KEY,KEY,0af050f2f61a9816,MONITORING_TAG_ADDED,-0.8188385749589293,67.58327546296296,0.7322222222222223,0.125,0.476986042396347,no,-0.3245670301475305,no,no,no,0.8,no,
MOB,MOB,018313d3408ec969,MONITORING_TAG_ADDED,-0.906061373224332,85.33322916666667,4.58984375,0.3333333333333333,3.5934323532012655,yes,-0.7851153039832285,no,no,no,1.0,no,
PDA,PDA,0cc30ba0df8ec322,MONITORING_TAG_ADDED,-0.5780440071758988,28.41625,1.0816901408450703,0.0416666666666666,3.488811076118077,no,-0.4248985115020297,no,no,no,0.8,no,
PORTAL,PORTAL,a556e77327afcd24,MONITORING_TAG_ADDED,-0.6694300954716825,46.49961805555556,2.176029962546816,18.666666666666668,4.576123615069719,no,-0.9139150943396226,no,no,no,0.8,no,
STPT,STPT,34739c73dc72f1d0,MONITORING_TAG_ADDED,-0.723840105122295,33.91571759259259,1.876994680851064,31.75,4.544410458223155,yes,-0.2479778137277559,no,no,no,1.0,no,
UNFI,UNFI,bcbb33fb0a078dbd,MONITORING_TAG_ADDED,-0.6632667041055829,10.583148148148148,1.3496614894464356,39.791666666666664,0.6613460903041576,yes,-0.7774576271186441,no,no,no,1.0,no,
