primary_scenario,number_of_tokens,share_of_sample,median_return_1h,median_return_24h,median_return_7d,median_return_30d,median_return_90d,recovery_90_sustained_rate,recovery_100_sustained_rate,pump20_rate,pump_and_dump_rate,manual_review_count,example_tokens
PAIR_REMOVAL_ONLY,259,0.47610294117647056,0.0,0.0031479538300105,-0.0033726812816188,0.0450854336057818,0.00483417924422235,0.0,0.0,0.0,0.0,0,"0G, 1000CAT, 1INCH, 2Z, AAVE, ACE, ACH, ACM"
TAG_TO_DELISTING_TO_COLLAPSE,66,0.1213235294117647,-0.02078070383778475,-0.06162646371363155,-0.13308387787138581,-0.21777748156047266,-0.14066603358418112,0.7575757575757576,0.5,0.015151515151515152,0.0,0,"A2Z, ACA, AERGO, ALPHA, ANT, AST, ATA, BADGER"
FUTURES_ONLY_DELISTING,62,0.11397058823529412,-0.0149820478598418,-0.0514138817480719,-0.0557127960673319,-0.05720220931136525,-0.062890296011308,0.5645161290322581,0.2903225806451613,0.0,0.0,0,"1000WHY, 1000X, 42, ADA, AI, AIA, APT, AUDIO"
SEED_TAG_ONLY,61,0.11213235294117647,-0.0252293577981652,-0.0252293577981652,-0.2407503234152652,-0.460672703751617,-0.5478654592496766,0.639344262295082,0.5409836065573771,0.0,0.0,0,"1000CHEEMS, 1000SATS, 1MBABYDOGE, ACT, ACX, AIGENSYN, AIXBT, ASTER"
DELISTED_WITHOUT_KNOWN_PRIOR_TAG,25,0.04595588235294118,-0.031890660592255,-0.1234866828087166,-0.381903642773208,-0.3220335596905873,-0.527301192625284,0.24,0.2,0.16,0.16,2,"AKRO, AMB, BTS, CREAM, DREP, ELF, GFT, IDRT"
DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,19,0.034926470588235295,-0.0206699928724162,-0.0841708542713567,-0.187396849212303,-0.20656990762115596,-0.07507843109634496,0.6842105263157895,0.42105263157894735,1.0,1.0,4,"ALPACA, BAKE, BAL, BOND, BSW, DOCK, EPX, FUN"
UNKNOWN_MANUAL_REVIEW,15,0.027573529411764705,,,,,,0.0,0.0,0.0,0.0,15,"ARKM, BERA, BIO, CML, ETHFI, GMX, ONDO, PENDLE"
NO_CLEAR_REACTION,14,0.025735294117647058,-0.0071428571428571,-0.0162601626016261,0.04825391384378434,0.3712446351931331,,0.6428571428571429,0.35714285714285715,0.0,0.0,0,"COOKIE, COS, HEI, HFT, HIGH, NFP, NOM, POND"
TAG_REMOVED_AND_RECOVERED,7,0.012867647058823529,-0.0113636363636363,-0.0467171717171717,-0.074978204010462,-0.0827114427860696,0.1184655885671306,1.0,0.8571428571428571,0.0,0.0,0,"CVX, MBL, PYTH, SUN, THE, ZEC, ZEN"
SLOW_BLEED_AFTER_TAG,5,0.009191176470588236,-0.0056818181818182,0.0056818181818181,-0.134020618556701,-0.1647727272727273,-0.2004996876951904,0.8,0.8,0.0,0.0,0,"GTC, MOVE, QI, STPT, WIF"
IMMEDIATE_DUMP_AFTER_TAG,4,0.007352941176470588,-0.00904551609527905,-0.10889238437653205,-0.1506493506493506,-0.0727272727272726,,0.0,0.0,0.0,0.0,0,"DODO, EPIC, RESOLV, TLM"
TEMPORARY_PANIC_THEN_RECOVERY,4,0.007352941176470588,-0.0458713125175081,-0.12928006550735874,-0.117310443490701,-0.3064516129032257,0.16602037598211958,1.0,0.5,0.0,0.0,0,"ALCX, ARDR, MBOX, PORTAL"
TAG_REMOVED_BUT_NOT_RECOVERED,3,0.0055147058823529415,-0.0331673558950123,-0.04481390834669605,-0.11116971896362565,-0.5128017132247447,-0.6388992742003545,0.0,0.0,0.0,0.0,0,"FLOW, GPS, TAO"
