token_symbol,signal_type,original_1h_signal_time,refined_15m_entry_time,refined_15m_entry_price,refined_15m_stop_price,refined_stop_distance_pct,refined_mae_before_mfe,refined_mfe_24h,refined_mfe_3d,refined_mfe_7d,refined_rr_24h,refined_rr_3d,refined_rr_7d,wick_risk_flag,single_candle_artifact_flag,missed_15m_signal_flag,false_breakout_warning_flag,liquidity_at_15m_entry,volume_zscore_at_15m_entry,time_to_20_target_hours,time_to_50_target_hours,time_to_100_target_hours,stop_failed,refinement_notes
A2Z,SLOW_BLEED_SQUEEZE_BREAKOUT,2026-03-21T07:00:00+00:00,2026-03-21T07:00:00+00:00,0.000512,0.00045472,-0.11187499999999995,-0.08007812499999989,0.18750000000000022,0.53125,2.44140625,1.6759776536312876,4.7486033519553095,21.822625698324032,yes,no,no,yes,22734.761516,1.8711510932221807,44.0,71.5,73.5,yes,15m_entry_has_wick_or_large_range;low_15m_entry_liquidity
ACA,SLOW_BLEED_SQUEEZE_BREAKOUT,2026-01-14T16:00:00+00:00,2026-01-14T16:00:00+00:00,0.0079,0.006958000000000001,-0.11924050632911398,-0.10126582278481011,0.0,0.0,0.06329113924050622,0.0,0.0,0.5307855626326953,no,no,no,yes,15411.599423,3.7349359159183786,nan,nan,nan,yes,low_15m_entry_liquidity
AERGO,NO_EXISTING_SIGNAL_15M_QA,,,,,,,,,,,,,,,,,,,,,,,no_existing_1h_signal_for_selected_token
ALPACA,CAPITULATION_RECLAIM,2025-04-17T06:00:00+00:00,2025-04-17T06:00:00+00:00,0.0302,0.027243999999999997,-0.09788079470198685,-0.039735099337748325,0.01655629139072845,0.9602649006622517,1.8377483443708607,0.16914749661704964,9.810554803788895,18.775372124492538,no,no,no,no,10262.92055,-0.2338174517918135,43.5,57.0,73.75,no,low_15m_entry_liquidity
ALPACA,SLOW_BLEED_SQUEEZE_BREAKOUT,2025-03-11T14:00:00+00:00,2025-03-11T14:00:00+00:00,0.0739,0.053998000000000004,-0.26930987821380237,-0.020297699594045815,0.15020297699594054,0.18809201623815985,0.18809201623815985,0.5577328911667173,0.6984222691186823,0.6984222691186823,no,no,no,no,204413.08625,1.2781799353038004,nan,nan,nan,no,
ARDR,HIGHER_LOW_BREAKOUT,2025-04-15T09:00:00+00:00,2025-04-15T09:00:00+00:00,0.06502,0.052939599999999996,-0.1857951399569363,-0.004767763764995214,1.414795447554599,1.8864964626268845,1.8864964626268845,7.6148140790040095,10.153637296778257,10.153637296778257,no,no,no,no,136989.49144,1.6711392639895315,0.75,14.75,15.75,no,
AST,CAPITULATION_RECLAIM,2025-03-16T10:00:00+00:00,2025-03-16T10:00:00+00:00,0.0453,0.008428,-0.8139514348785872,-0.10375275938189854,0.022075055187638082,0.05739514348785857,0.05739514348785857,0.027120850509872126,0.07051421132566699,0.07051421132566699,no,yes,no,no,9806.83,0.4122742935241007,nan,nan,nan,no,next_3_15m_candles_failed_to_extend;low_15m_entry_liquidity
AST,SLOW_BLEED_SQUEEZE_BREAKOUT,2025-03-13T08:00:00+00:00,2025-03-13T08:00:00+00:00,0.0443,0.0392,-0.1151241534988714,-0.8058690744920993,0.060948081264108334,0.0790067720090295,0.08126410835214437,0.5294117647058819,0.6862745098039226,0.7058823529411752,yes,no,no,yes,53936.7714,6.817156687966626,nan,nan,nan,yes,15m_entry_has_wick_or_large_range
ATA,SLOW_BLEED_SQUEEZE_BREAKOUT,2026-03-21T20:00:00+00:00,2026-03-21T20:00:00+00:00,0.0105,0.010192,-0.029333333333333433,0.0,0.00952380952380949,0.00952380952380949,0.00952380952380949,0.3246753246753224,0.3246753246753224,0.3246753246753224,yes,no,no,yes,3245.6655,4.954815809122114,nan,nan,nan,yes,15m_entry_has_wick_or_large_range;low_15m_entry_liquidity
BAKE,CAPITULATION_RECLAIM,2025-09-09T19:00:00+00:00,2025-09-09T19:00:00+00:00,0.0351,0.03234,-0.07863247863247858,-0.002849002849002691,5.2250712250712255,5.2250712250712255,5.2250712250712255,66.4492753623189,66.4492753623189,66.4492753623189,no,no,no,no,62493.32521,0.4040787112981252,0.75,10.0,10.25,no,
BAKE,SLOW_BLEED_SQUEEZE_BREAKOUT,2025-07-16T16:00:00+00:00,2025-07-16T16:00:00+00:00,0.0905,0.08183,-0.0958011049723757,-0.029834254143646377,0.08839779005524862,0.10055248618784529,0.2585635359116023,0.9227220299884658,1.0495963091118798,2.6989619377162635,no,no,no,no,42330.79626,0.9463615165145294,158.0,nan,nan,no,
BIFI,HIGHER_LOW_BREAKOUT,2025-06-30T12:00:00+00:00,2025-06-30T12:00:00+00:00,189.3,138.37599999999998,-0.2690121500264133,-0.21658742736397252,0.014263074484944571,0.014263074484944571,0.014263074484944571,0.053020186945251846,0.053020186945251846,0.053020186945251846,yes,yes,no,no,444150.9205,6.881248603541181,nan,nan,nan,no,15m_entry_has_wick_or_large_range;next_3_15m_candles_failed_to_extend
BSW,HIGHER_LOW_BREAKOUT,2025-04-19T09:00:00+00:00,2025-04-19T09:00:00+00:00,0.0166,0.010976,-0.3387951807228916,0.0,0.5180722891566265,0.6566265060240963,2.614457831325301,1.5291607396870552,1.9381223328591746,7.716927453769557,yes,no,no,no,60517.04718,0.352238375962892,3.0,20.25,131.25,no,15m_entry_has_wick_or_large_range
BSW,SLOW_BLEED_SQUEEZE_BREAKOUT,2025-04-10T11:00:00+00:00,2025-04-10T11:00:00+00:00,0.0141,0.012936,-0.08255319148936169,-0.21985815602836878,0.07092198581560294,0.07092198581560294,0.23404255319148937,0.8591065292096234,0.8591065292096234,2.835051546391753,yes,no,no,yes,17382.01959,-0.16210451533280526,143.5,nan,nan,yes,15m_entry_has_wick_or_large_range;low_15m_entry_liquidity
CLV,HIGHER_LOW_BREAKOUT,2024-11-09T20:00:00+00:00,2024-11-09T20:00:00+00:00,0.02938,0.0268226,-0.08704560925799865,-0.023144996596324074,0.3134785568413887,0.3134785568413887,5.466984343090538,3.6013138343630247,3.6013138343630247,62.80597481817471,no,no,no,no,6462.758578,-0.5537200701384083,20.25,121.0,141.25,no,low_15m_entry_liquidity
